,ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,ICD10 description,Comment
31,H81.91,"Unspecified disorder of vestibular function, right ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
32,H81.92,"Unspecified disorder of vestibular function, left ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
33,H81.93,"Unspecified disorder of vestibular function, bilateral",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
34,H83.01,"Labyrinthitis, right ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
35,H83.02,"Labyrinthitis, left ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
36,H83.03,"Labyrinthitis, bilateral",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
37,H83.09,"Labyrinthitis, unspecified ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
38,H83.11,"Labyrinthine fistula, right ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
39,H83.12,"Labyrinthine fistula, left ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
40,H83.13,"Labyrinthine fistula, bilateral",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
41,H83.19,"Labyrinthine fistula, unspecified ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
42,H83.2X1,"Labyrinthine dysfunction, right ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
43,H83.2X2,"Labyrinthine dysfunction, left ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
44,H83.2X3,"Labyrinthine dysfunction, bilateral",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
45,H83.2X9,"Labyrinthine dysfunction, unspecified ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
46,H83.3X1,Noise effects on right inner ear,EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
47,H83.3X2,Noise effects on left inner ear,EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
48,H83.3X3,"Noise effects on inner ear, bilateral",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
49,H83.3X9,"Noise effects on inner ear, unspecified ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
50,H83.8X1,Other specified diseases of right inner ear,EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
51,H83.8X2,Other specified diseases of left inner ear,EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
52,H83.8X3,"Other specified diseases of inner ear, bilateral",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
53,H83.8X9,"Other specified diseases of inner ear, unspecified ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
54,H83.90,"Unspecified disease of inner ear, unspecified ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
55,H83.91,Unspecified disease of right inner ear,EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
56,H83.92,Unspecified disease of left inner ear,EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
57,H83.93,"Unspecified disease of inner ear, bilateral",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H83 Other diseases of inner ear, Conditions associated with dizziness or vertigo
