,ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,ICD10 description,Risk factors description
16,I60.32,Ntrm subarach hemor from left posterior communicating artery,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
17,I60.4,Nontraumatic subarachnoid hemorrhage from basilar artery,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
18,I60.50,Nontraumatic subarachnoid hemorrhage from unsp verteb art,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
19,I60.51,Nontraumatic subarachnoid hemorrhage from r verteb art,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
20,I60.52,Nontraumatic subarachnoid hemorrhage from l verteb art,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
21,I60.6,Nontraumatic subarachnoid hemorrhage from oth intracran art,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
22,I60.7,Nontraumatic subarachnoid hemorrhage from unsp intracran art,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
23,I60.8,Other nontraumatic subarachnoid hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
24,I60.9,"Nontraumatic subarachnoid hemorrhage, unspecified",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
25,I61.0,"Nontraumatic intcrbl hemorrhage in hemisphere, subcortical",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
26,I61.1,"Nontraumatic intcrbl hemorrhage in hemisphere, cortical",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
27,I61.2,"Nontraumatic intracerebral hemorrhage in hemisphere, unsp",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
28,I61.3,Nontraumatic intracerebral hemorrhage in brain stem,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
29,I61.4,Nontraumatic intracerebral hemorrhage in cerebellum,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
30,I61.5,"Nontraumatic intracerebral hemorrhage, intraventricular",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
31,I61.6,"Nontraumatic intracerebral hemorrhage, multiple localized",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
32,I61.8,Other nontraumatic intracerebral hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
33,I61.9,"Nontraumatic intracerebral hemorrhage, unspecified",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
34,I62.00,"Nontraumatic subdural hemorrhage, unspecified",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I62 Other and unspecified nontraumatic intracranial hemorrhage,Hx of stroke or TIA
35,I62.01,Nontraumatic acute subdural hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I62 Other and unspecified nontraumatic intracranial hemorrhage,Hx of stroke or TIA
36,I62.02,Nontraumatic subacute subdural hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I62 Other and unspecified nontraumatic intracranial hemorrhage,Hx of stroke or TIA
37,I62.03,Nontraumatic chronic subdural hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I62 Other and unspecified nontraumatic intracranial hemorrhage,Hx of stroke or TIA
38,I62.1,Nontraumatic extradural hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I62 Other and unspecified nontraumatic intracranial hemorrhage,Hx of stroke or TIA
39,I62.9,"Nontraumatic intracranial hemorrhage, unspecified",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I62 Other and unspecified nontraumatic intracranial hemorrhage,Hx of stroke or TIA
40,I63.00,Cerebral infarction due to thombos unsp precerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
41,I63.011,Cerebral infarction due to thrombosis of r verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
42,I63.012,Cerebral infarction due to thrombosis of l verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
43,I63.013,Cerebral infrc due to thrombosis of bilateral verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
44,I63.019,Cerebral infarction due to thombos unsp vertebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
45,I63.02,Cerebral infarction due to thrombosis of basilar artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
46,I63.031,Cerebral infrc due to thrombosis of right carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
47,I63.032,Cerebral infarction due to thrombosis of left carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
48,I63.033,Cerebral infrc due to thombos of bilateral carotid arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
49,I63.039,Cerebral infarction due to thrombosis of unsp carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
50,I63.09,Cerebral infarction due to thrombosis of precerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
51,I63.10,Cerebral infarction due to embolism of unsp precerb artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
52,I63.111,Cerebral infarction due to embolism of r verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
53,I63.112,Cerebral infarction due to embolism of left vertebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
54,I63.113,Cerebral infarction due to embolism of bilateral verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
55,I63.119,Cerebral infarction due to embolism of unsp vertebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
56,I63.12,Cerebral infarction due to embolism of basilar artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
57,I63.131,Cerebral infarction due to embolism of right carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
58,I63.132,Cerebral infarction due to embolism of left carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
59,I63.133,Cerebral infrc due to embolism of bilateral carotid arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
60,I63.139,Cerebral infarction due to embolism of unsp carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
61,I63.19,Cerebral infarction due to embolism of precerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
62,I63.20,Cereb infrc due to unsp occls or stenos of unsp precerb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
63,I63.211,Cerebral infrc due to unsp occls or stenosis of r verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
64,I63.212,Cerebral infrc due to unsp occls or stenosis of l verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
65,I63.213,Cereb infrc due to unsp occls or stenosis of bi verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
66,I63.219,Cereb infrc due to unsp occls or stenosis of unsp verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
67,I63.22,Cereb infrc due to unsp occls or stenosis of basilar artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
68,I63.231,Cereb infrc due to unsp occls or stenos of right carotid art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
69,I63.232,Cereb infrc due to unsp occls or stenos of left carotid art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
70,I63.233,Cereb infrc due to unsp occls or stenosis of bi carotid art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
71,I63.239,Cereb infrc due to unsp occls or stenos of unsp carotid art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
72,I63.29,Cerebral infrc due to unsp occls or stenosis of precerb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
73,I63.30,Cerebral infarction due to thombos unsp cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
74,I63.311,Cereb infrc due to thombos of right middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
75,I63.312,Cerebral infrc due to thombos of left middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
76,I63.313,Cerebral infrc due to thombos of bi middle cerebral arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
77,I63.319,Cerebral infrc due to thombos unsp middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
78,I63.321,Cerebral infrc due to thombos of right ant cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
79,I63.322,Cerebral infrc due to thombos of left ant cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
80,I63.323,Cerebral infrc due to thombos of bi ant cerebral arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
81,I63.329,Cerebral infrc due to thombos unsp anterior cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
82,I63.331,Cerebral infrc due to thombos of right post cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
83,I63.332,Cerebral infrc due to thombos of left post cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
84,I63.333,Cerebral infrc to thombos of bi posterior cerebral arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
85,I63.339,Cerebral infrc due to thombos unsp posterior cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
86,I63.341,Cerebral infrc due to thrombosis of right cereblr artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
87,I63.342,Cerebral infarction due to thrombosis of left cereblr artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
88,I63.343,Cerebral infrc to thrombosis of bilateral cereblr arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
89,I63.349,Cerebral infarction due to thombos unsp cerebellar artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
90,I63.39,Cerebral infarction due to thrombosis of oth cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
91,I63.40,Cerebral infarction due to embolism of unsp cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
92,I63.411,Cereb infrc due to embolism of right middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
93,I63.412,Cereb infrc due to embolism of left middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
94,I63.413,Cerebral infrc due to embolism of bi middle cerebral art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
95,I63.419,Cereb infrc due to embolism of unsp middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
96,I63.421,Cerebral infrc due to embolism of right ant cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
97,I63.422,Cerebral infrc due to embolism of left ant cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
98,I63.423,Cerebral infrc due to embolism of bi ant cerebral arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
99,I63.429,Cerebral infrc due to embolism of unsp ant cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
100,I63.431,Cerebral infrc due to embolism of right post cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
101,I63.432,Cerebral infrc due to embolism of left post cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
102,I63.433,Cerebral infrc due to embolism of bi post cerebral arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
103,I63.439,Cerebral infrc due to embolism of unsp post cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
104,I63.441,Cerebral infarction due to embolism of right cereblr artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
105,I63.442,Cerebral infarction due to embolism of left cereblr artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
106,I63.443,Cerebral infrc due to embolism of bilateral cereblr arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
107,I63.449,Cerebral infarction due to embolism of unsp cereblr artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
108,I63.49,Cerebral infarction due to embolism of other cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
109,I63.50,Cereb infrc due to unsp occls or stenos of unsp cereb artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
110,I63.511,Cereb infrc d/t unsp occls or stenos of right mid cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
111,I63.512,Cereb infrc d/t unsp occls or stenos of left mid cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
112,I63.513,Cereb infrc d/t unsp occls or stenos of bi middle cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
113,I63.519,Cereb infrc d/t unsp occls or stenos of unsp mid cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
114,I63.521,Cereb infrc d/t unsp occls or stenos of right ant cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
115,I63.522,Cereb infrc d/t unsp occls or stenos of left ant cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
116,I63.523,Cereb infrc due to unsp occls or stenos of bi ant cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
117,I63.529,Cereb infrc d/t unsp occls or stenos of unsp ant cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
118,I63.531,Cereb infrc d/t unsp occls or stenos of right post cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
119,I63.532,Cereb infrc d/t unsp occls or stenos of left post cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
120,I63.533,Cereb infrc due to unsp occls or stenos of bi post cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
121,I63.539,Cereb infrc d/t unsp occls or stenos of unsp post cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
122,I63.541,Cereb infrc due to unsp occls or stenos of right cereblr art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
123,I63.542,Cereb infrc due to unsp occls or stenos of left cereblr art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
124,I63.543,Cereb infrc due to unsp occls or stenosis of bi cereblr art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
125,I63.549,Cereb infrc due to unsp occls or stenos of unsp cereblr art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
126,I63.59,Cereb infrc due to unsp occls or stenosis of cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
127,I63.6,"Cerebral infrc due to cerebral venous thombos, nonpyogenic",CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
128,I63.8,Other cerebral infarction,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
129,I63.81,Other cerebral infarction due to occlusion or stenosis of small artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
130,I63.89,Other cerebral infarction,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
131,I63.9,"Cerebral infarction, unspecified",CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
132,G45.9,"Transient cerebral ischemic attack, unspecified",NVS012,Transient cerebral ischemia,Y,0 Not Applicable,G45.9 TIA,Hx of stroke or TIA
133,I10.,Essential (primary) hypertension,CIR007,Essential hypertension,Y,0 Not Applicable,I10 Essential hypertension,Hypertension
134,O10.011,"Pre-existing essential hypertension complicating pregnancy, first trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
135,O10.012,"Pre-existing essential hypertension complicating pregnancy, second trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
136,O10.013,"Pre-existing essential hypertension complicating pregnancy, third trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
137,O10.019,"Pre-existing essential hypertension complicating pregnancy, unspecified trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
138,O10.02,Pre-existing essential hypertension complicating childbirth,CIR007,Essential hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,"O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
139,O10.03,Pre-existing essential hypertension complicating the puerperium,CIR007,Essential hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,"O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
140,O10.911,"Unspecified pre-existing hypertension complicating pregnancy, first trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
141,O10.912,"Unspecified pre-existing hypertension complicating pregnancy, second trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
142,O10.913,"Unspecified pre-existing hypertension complicating pregnancy, third trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
143,O10.919,"Unspecified pre-existing hypertension complicating pregnancy, unspecified trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
144,O10.92,Unspecified pre-existing hypertension complicating childbirth,CIR007,Essential hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,"O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
145,O10.93,Unspecified pre-existing hypertension complicating the puerperium,CIR007,Essential hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,"O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
146,O16.1,"Unspecified maternal hypertension, first trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O16 Unspecified maternal hypertension,Hypertension
147,O16.2,"Unspecified maternal hypertension, second trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O16 Unspecified maternal hypertension,Hypertension
148,O16.3,"Unspecified maternal hypertension, third trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O16 Unspecified maternal hypertension,Hypertension
149,O16.4,"Unspecified maternal hypertension, complicating childbirth",CIR007,Essential hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,O16 Unspecified maternal hypertension,Hypertension
150,O16.5,"Unspecified maternal hypertension, complicating the puerperium",CIR007,Essential hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,O16 Unspecified maternal hypertension,Hypertension
151,O16.9,"Unspecified maternal hypertension, unspecified trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O16 Unspecified maternal hypertension,Hypertension
152,I15.0,Renovascular hypertension,CIR008,Hypertension with complications and secondary hypertension,Y,0 Not Applicable,I15 Secondary hypertension,Hypertension
153,I15.1,Hypertension secondary to other renal disorders,CIR008,Hypertension with complications and secondary hypertension,Y,0 Not Applicable,I15 Secondary hypertension,Hypertension
