ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,ICD10 description,Risk factors description
I6032,Ntrm subarach hemor from left posterior communicating artery,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
I604,Nontraumatic subarachnoid hemorrhage from basilar artery,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
I6050,Nontraumatic subarachnoid hemorrhage from unsp verteb art,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
I6051,Nontraumatic subarachnoid hemorrhage from r verteb art,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
I6052,Nontraumatic subarachnoid hemorrhage from l verteb art,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
I606,Nontraumatic subarachnoid hemorrhage from oth intracran art,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
I607,Nontraumatic subarachnoid hemorrhage from unsp intracran art,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
I608,Other nontraumatic subarachnoid hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
I609,"Nontraumatic subarachnoid hemorrhage, unspecified",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I60 Nontraumatic subarachnoid hemorrhage,Hx of stroke or TIA
I610,"Nontraumatic intcrbl hemorrhage in hemisphere, subcortical",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
I611,"Nontraumatic intcrbl hemorrhage in hemisphere, cortical",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
I612,"Nontraumatic intracerebral hemorrhage in hemisphere, unsp",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
I613,Nontraumatic intracerebral hemorrhage in brain stem,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
I614,Nontraumatic intracerebral hemorrhage in cerebellum,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
I615,"Nontraumatic intracerebral hemorrhage, intraventricular",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
I616,"Nontraumatic intracerebral hemorrhage, multiple localized",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
I618,Other nontraumatic intracerebral hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
I619,"Nontraumatic intracerebral hemorrhage, unspecified",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I61 Nontraumatic intracerebral hemorrhage,Hx of stroke or TIA
I6200,"Nontraumatic subdural hemorrhage, unspecified",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I62 Other and unspecified nontraumatic intracranial hemorrhage,Hx of stroke or TIA
I6201,Nontraumatic acute subdural hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I62 Other and unspecified nontraumatic intracranial hemorrhage,Hx of stroke or TIA
I6202,Nontraumatic subacute subdural hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I62 Other and unspecified nontraumatic intracranial hemorrhage,Hx of stroke or TIA
I6203,Nontraumatic chronic subdural hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I62 Other and unspecified nontraumatic intracranial hemorrhage,Hx of stroke or TIA
I621,Nontraumatic extradural hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I62 Other and unspecified nontraumatic intracranial hemorrhage,Hx of stroke or TIA
I629,"Nontraumatic intracranial hemorrhage, unspecified",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,I62 Other and unspecified nontraumatic intracranial hemorrhage,Hx of stroke or TIA
I6300,Cerebral infarction due to thombos unsp precerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63011,Cerebral infarction due to thrombosis of r verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63012,Cerebral infarction due to thrombosis of l verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63013,Cerebral infrc due to thrombosis of bilateral verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63019,Cerebral infarction due to thombos unsp vertebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6302,Cerebral infarction due to thrombosis of basilar artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63031,Cerebral infrc due to thrombosis of right carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63032,Cerebral infarction due to thrombosis of left carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63033,Cerebral infrc due to thombos of bilateral carotid arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63039,Cerebral infarction due to thrombosis of unsp carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6309,Cerebral infarction due to thrombosis of precerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6310,Cerebral infarction due to embolism of unsp precerb artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63111,Cerebral infarction due to embolism of r verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63112,Cerebral infarction due to embolism of left vertebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63113,Cerebral infarction due to embolism of bilateral verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63119,Cerebral infarction due to embolism of unsp vertebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6312,Cerebral infarction due to embolism of basilar artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63131,Cerebral infarction due to embolism of right carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63132,Cerebral infarction due to embolism of left carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63133,Cerebral infrc due to embolism of bilateral carotid arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63139,Cerebral infarction due to embolism of unsp carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6319,Cerebral infarction due to embolism of precerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6320,Cereb infrc due to unsp occls or stenos of unsp precerb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63211,Cerebral infrc due to unsp occls or stenosis of r verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63212,Cerebral infrc due to unsp occls or stenosis of l verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63213,Cereb infrc due to unsp occls or stenosis of bi verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63219,Cereb infrc due to unsp occls or stenosis of unsp verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6322,Cereb infrc due to unsp occls or stenosis of basilar artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63231,Cereb infrc due to unsp occls or stenos of right carotid art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63232,Cereb infrc due to unsp occls or stenos of left carotid art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63233,Cereb infrc due to unsp occls or stenosis of bi carotid art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63239,Cereb infrc due to unsp occls or stenos of unsp carotid art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6329,Cerebral infrc due to unsp occls or stenosis of precerb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6330,Cerebral infarction due to thombos unsp cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63311,Cereb infrc due to thombos of right middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63312,Cerebral infrc due to thombos of left middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63313,Cerebral infrc due to thombos of bi middle cerebral arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63319,Cerebral infrc due to thombos unsp middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63321,Cerebral infrc due to thombos of right ant cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63322,Cerebral infrc due to thombos of left ant cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63323,Cerebral infrc due to thombos of bi ant cerebral arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63329,Cerebral infrc due to thombos unsp anterior cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63331,Cerebral infrc due to thombos of right post cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63332,Cerebral infrc due to thombos of left post cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63333,Cerebral infrc to thombos of bi posterior cerebral arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63339,Cerebral infrc due to thombos unsp posterior cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63341,Cerebral infrc due to thrombosis of right cereblr artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63342,Cerebral infarction due to thrombosis of left cereblr artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63343,Cerebral infrc to thrombosis of bilateral cereblr arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63349,Cerebral infarction due to thombos unsp cerebellar artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6339,Cerebral infarction due to thrombosis of oth cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6340,Cerebral infarction due to embolism of unsp cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63411,Cereb infrc due to embolism of right middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63412,Cereb infrc due to embolism of left middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63413,Cerebral infrc due to embolism of bi middle cerebral art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63419,Cereb infrc due to embolism of unsp middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63421,Cerebral infrc due to embolism of right ant cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63422,Cerebral infrc due to embolism of left ant cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63423,Cerebral infrc due to embolism of bi ant cerebral arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63429,Cerebral infrc due to embolism of unsp ant cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63431,Cerebral infrc due to embolism of right post cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63432,Cerebral infrc due to embolism of left post cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63433,Cerebral infrc due to embolism of bi post cerebral arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63439,Cerebral infrc due to embolism of unsp post cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63441,Cerebral infarction due to embolism of right cereblr artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63442,Cerebral infarction due to embolism of left cereblr artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63443,Cerebral infrc due to embolism of bilateral cereblr arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63449,Cerebral infarction due to embolism of unsp cereblr artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6349,Cerebral infarction due to embolism of other cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6350,Cereb infrc due to unsp occls or stenos of unsp cereb artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63511,Cereb infrc d/t unsp occls or stenos of right mid cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63512,Cereb infrc d/t unsp occls or stenos of left mid cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63513,Cereb infrc d/t unsp occls or stenos of bi middle cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63519,Cereb infrc d/t unsp occls or stenos of unsp mid cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63521,Cereb infrc d/t unsp occls or stenos of right ant cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63522,Cereb infrc d/t unsp occls or stenos of left ant cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63523,Cereb infrc due to unsp occls or stenos of bi ant cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63529,Cereb infrc d/t unsp occls or stenos of unsp ant cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63531,Cereb infrc d/t unsp occls or stenos of right post cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63532,Cereb infrc d/t unsp occls or stenos of left post cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63533,Cereb infrc due to unsp occls or stenos of bi post cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63539,Cereb infrc d/t unsp occls or stenos of unsp post cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63541,Cereb infrc due to unsp occls or stenos of right cereblr art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63542,Cereb infrc due to unsp occls or stenos of left cereblr art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63543,Cereb infrc due to unsp occls or stenosis of bi cereblr art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I63549,Cereb infrc due to unsp occls or stenos of unsp cereblr art,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6359,Cereb infrc due to unsp occls or stenosis of cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I636,"Cerebral infrc due to cerebral venous thombos, nonpyogenic",CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I638,Other cerebral infarction,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6381,Other cerebral infarction due to occlusion or stenosis of small artery,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I6389,Other cerebral infarction,CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
I639,"Cerebral infarction, unspecified",CIR020,Cerebral infarction,Y,0 Not Applicable,I63 Cerebral infarction,Hx of stroke or TIA
G459,"Transient cerebral ischemic attack, unspecified",NVS012,Transient cerebral ischemia,Y,0 Not Applicable,G45.9 TIA,Hx of stroke or TIA
I10,Essential (primary) hypertension,CIR007,Essential hypertension,Y,0 Not Applicable,I10 Essential hypertension,Hypertension
O10011,"Pre-existing essential hypertension complicating pregnancy, first trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
O10012,"Pre-existing essential hypertension complicating pregnancy, second trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
O10013,"Pre-existing essential hypertension complicating pregnancy, third trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
O10019,"Pre-existing essential hypertension complicating pregnancy, unspecified trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
O1002,Pre-existing essential hypertension complicating childbirth,CIR007,Essential hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,"O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
O1003,Pre-existing essential hypertension complicating the puerperium,CIR007,Essential hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,"O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
O10911,"Unspecified pre-existing hypertension complicating pregnancy, first trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
O10912,"Unspecified pre-existing hypertension complicating pregnancy, second trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
O10913,"Unspecified pre-existing hypertension complicating pregnancy, third trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
O10919,"Unspecified pre-existing hypertension complicating pregnancy, unspecified trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
O1092,Unspecified pre-existing hypertension complicating childbirth,CIR007,Essential hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,"O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
O1093,Unspecified pre-existing hypertension complicating the puerperium,CIR007,Essential hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,"O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
O161,"Unspecified maternal hypertension, first trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O16 Unspecified maternal hypertension,Hypertension
O162,"Unspecified maternal hypertension, second trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O16 Unspecified maternal hypertension,Hypertension
O163,"Unspecified maternal hypertension, third trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O16 Unspecified maternal hypertension,Hypertension
O164,"Unspecified maternal hypertension, complicating childbirth",CIR007,Essential hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,O16 Unspecified maternal hypertension,Hypertension
O165,"Unspecified maternal hypertension, complicating the puerperium",CIR007,Essential hypertension,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,O16 Unspecified maternal hypertension,Hypertension
O169,"Unspecified maternal hypertension, unspecified trimester",CIR007,Essential hypertension,N,"03 Pregnancy, perinatal, and congenital malformation",O16 Unspecified maternal hypertension,Hypertension
I150,Renovascular hypertension,CIR008,Hypertension with complications and secondary hypertension,Y,0 Not Applicable,I15 Secondary hypertension,Hypertension
I151,Hypertension secondary to other renal disorders,CIR008,Hypertension with complications and secondary hypertension,Y,0 Not Applicable,I15 Secondary hypertension,Hypertension
I152,Hypertension secondary to endocrine disorders,CIR008,Hypertension with complications and secondary hypertension,Y,0 Not Applicable,I15 Secondary hypertension,Hypertension
I158,Other secondary hypertension,CIR008,Hypertension with complications and secondary hypertension,Y,0 Not Applicable,I15 Secondary hypertension,Hypertension
I159,"Secondary hypertension, unspecified",CIR008,Hypertension with complications and secondary hypertension,Y,0 Not Applicable,I15 Secondary hypertension,Hypertension
O10411,"Pre-existing secondary hypertension complicating pregnancy, first trimester",CIR008,Hypertension with complications and secondary hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
O10412,"Pre-existing secondary hypertension complicating pregnancy, second trimester",CIR008,Hypertension with complications and secondary hypertension,N,"03 Pregnancy, perinatal, and congenital malformation","O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Hypertension
